iter	Logloss
0	0.6823554179
1	0.6746816056
2	0.6671056562
3	0.6611428208
4	0.6539898033
5	0.6480228264
6	0.6421731958
7	0.6350712804
8	0.6279844962
9	0.6240277346
10	0.6200302618
11	0.6158827503
12	0.6122162464
13	0.6075902032
14	0.6015464079
15	0.5940987482
16	0.5904448244
17	0.5862771819
18	0.5819708819
19	0.5777793399
20	0.5742749465
21	0.5710410586
22	0.5659434537
23	0.5599416357
24	0.5551386381
25	0.5508305171
26	0.5482637904
27	0.5452106515
28	0.5416167943
29	0.5361260338
30	0.532771385
31	0.5306188812
32	0.5279012997
33	0.5259007773
34	0.5224919062
35	0.5201629549
36	0.5171927975
37	0.5144593999
38	0.5110659862
39	0.5090338273
40	0.507417984
41	0.5039596946
42	0.5008331499
43	0.4989785634
44	0.4968280779
45	0.495310473
46	0.4942293637
47	0.4927356053
48	0.4904866731
49	0.4876080321
50	0.4858877161
51	0.4840011816
52	0.4823571192
53	0.4802173657
54	0.4774571406
55	0.4753006067
56	0.4732932145
57	0.4707533957
58	0.4688596338
59	0.4674562434
60	0.4643353423
61	0.4620111364
62	0.4593142366
63	0.4573605641
64	0.4558115004
65	0.454645548
66	0.4530108581
67	0.4518158056
68	0.4502049213
69	0.4489387448
70	0.4474352667
71	0.4456104083
72	0.4436109146
73	0.4424999835
74	0.4414108334
75	0.4401349965
76	0.4385646595
77	0.4366837364
78	0.4347415834
79	0.4321664692
80	0.4304498805
81	0.4294094693
82	0.4283100036
83	0.4276819331
84	0.426736662
85	0.4256002868
86	0.4236026028
87	0.4222057979
88	0.4211249732
89	0.4207456884
90	0.4197335711
91	0.4187318096
92	0.4176474327
93	0.4164628493
94	0.4143714069
95	0.41359809
96	0.4124536678
97	0.4116383054
98	0.4104356352
99	0.4095578734
100	0.408387717
101	0.4079739545
102	0.4074636185
103	0.4068649442
104	0.4062522558
105	0.4053837372
106	0.4035611377
107	0.4024902215
108	0.4016852507
109	0.4003631934
110	0.3990079183
111	0.3981801274
112	0.3969063419
113	0.3962912643
114	0.3946737896
115	0.3938047566
116	0.3920652921
117	0.39119708
118	0.3902230969
119	0.3885688009
120	0.3874079582
121	0.386425328
122	0.385657757
123	0.3851604601
124	0.3840364682
125	0.3834470391
126	0.3825227612
127	0.3816448035
128	0.3803823781
129	0.3792206458
130	0.3782049223
131	0.3772093051
132	0.3762295099
133	0.3752765576
134	0.3746095054
135	0.3741403824
136	0.3737350038
137	0.3728142373
138	0.3713159217
139	0.3704432922
140	0.3694604061
141	0.3687887066
142	0.3683970794
143	0.3681076715
144	0.3669235527
145	0.3653552911
146	0.3647782778
147	0.3639522211
148	0.3630784389
149	0.3625124405
150	0.3620545909
151	0.3608594504
