iter	Passed	Remaining
0	8	5158
1	14	4501
2	20	4324
3	26	4110
4	31	3930
5	38	3943
6	43	3855
7	49	3773
8	54	3687
9	58	3603
10	63	3551
11	68	3498
12	75	3546
13	82	3567
14	88	3576
15	94	3570
16	99	3558
17	105	3539
18	110	3504
19	115	3486
20	121	3469
21	126	3453
22	132	3440
23	138	3440
24	143	3426
25	148	3411
26	155	3419
27	161	3430
28	168	3446
29	174	3444
30	181	3455
31	187	3463
32	193	3455
33	199	3443
34	204	3434
35	210	3431
36	216	3424
37	222	3414
38	227	3397
39	232	3381
40	237	3361
41	241	3339
42	246	3314
43	251	3303
44	256	3290
45	261	3274
46	266	3260
47	271	3245
48	275	3224
49	280	3209
50	286	3204
51	291	3194
52	296	3185
53	301	3171
54	306	3157
55	311	3146
56	316	3136
57	321	3125
58	326	3113
59	331	3109
60	336	3097
61	341	3084
62	346	3072
63	351	3061
64	355	3048
65	361	3048
66	366	3039
67	372	3033
68	377	3023
69	382	3013
70	387	3004
71	391	2992
72	396	2983
73	402	2978
74	407	2975
75	413	2971
76	419	2967
77	423	2955
78	429	2948
79	433	2939
80	438	2929
81	443	2923
82	448	2912
83	452	2899
84	457	2887
85	463	2888
86	468	2878
87	472	2869
88	477	2860
89	482	2850
90	487	2842
91	493	2840
92	498	2833
93	503	2825
94	508	2821
95	513	2816
96	518	2808
97	523	2801
98	530	2800
99	535	2794
100	540	2789
101	545	2780
102	549	2770
103	554	2762
104	559	2756
105	564	2747
106	569	2741
107	574	2734
108	579	2727
109	584	2719
110	588	2711
111	593	2704
112	598	2695
113	603	2688
114	608	2684
115	613	2677
116	619	2672
117	624	2668
118	629	2661
119	634	2655
120	640	2651
121	646	2647
122	651	2641
123	656	2638
124	662	2634
125	668	2631
126	674	2627
127	679	2621
128	684	2615
129	689	2610
130	694	2604
131	699	2597
132	705	2592
133	710	2587
134	715	2580
135	720	2575
136	725	2568
137	730	2562
138	737	2561
139	742	2556
140	747	2550
141	753	2545
142	758	2539
143	763	2532
144	767	2525
145	773	2521
146	779	2519
147	785	2516
148	791	2512
149	796	2506
150	803	2505
151	809	2502
