iter	Logloss
0	0.6524229075
1	0.6094748409
2	0.5725014267
3	0.537175347
4	0.51354792
5	0.4925544838
6	0.4702843302
7	0.4447557102
8	0.4248463686
9	0.4060794713
10	0.3911270256
11	0.3752012911
12	0.3625288032
13	0.3519219202
14	0.3350925363
15	0.3282840119
16	0.3163725317
17	0.3049640768
18	0.2955603222
19	0.2863634629
20	0.2770588008
21	0.2707322937
22	0.2652093792
23	0.2599772868
24	0.253130719
25	0.2470362861
26	0.2410846074
27	0.234618882
28	0.2300929666
29	0.2250995094
30	0.2203182029
31	0.2169696606
32	0.2132959678
33	0.2095957676
34	0.2062328758
35	0.2020032943
36	0.1996512765
37	0.1970842539
38	0.1946225016
39	0.1913051668
40	0.1882989216
